title,artist,top genre,year released,dur
The Lazy Song,Bruno Mars,dance pop,2010,189
Bounce (feat. Kelis) - Radio Edit,Calvin Harris,dance pop,2012,222
Blind Faith,Chase & Status,dancefloor dnb,2011,234
Champion (feat. Chris Brown),Chip,grime,2011,237
Look At Me Now (feat. Lil' Wayne & Busta Rhymes),Chris Brown,dance pop,2011,223
Yeah 3x,Chris Brown,dance pop,2011,242
Beautiful People,Chris Brown,dance pop,2019,226
Jar of Hearts,Christina Perri,dance pop,2011,247
You Make Me Feel... (feat. Sabi),Cobra Starship,dance pop,2011,216
Paradise,Coldplay,permanent wave,2011,279
Every Teardrop Is a Waterfall,Coldplay,permanent wave,2011,241
Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,big room,2011,210
Who's That Chick? (feat. Rihanna),David Guetta,big room,2010,201
Coming Home,Diddy - Dirty Money,hip pop,2010,239
Louder,DJ Fresh,dancefloor dnb,2012,207
I'm On One,DJ Khaled,dance pop,2011,296
I Need A Doctor,Dr. Dre,g funk,2011,284
Headlines,Drake,canadian hip hop,2011,236
The A Team,Ed Sheeran,pop,2011,258
Lego House,Ed Sheeran,pop,2011,185
Stereo Love - Radio Edit,Edward Maya,romanian house,2010,185
Tonight (I'm Fuckin' You),Enrique Iglesias,dance pop,2010,232
Springsteen,Eric Church,contemporary country,2011,263
Changed the Way You Kiss Me - Radio Edit,Example,dance pop,2011,195
Rocketeer,Far East Movement,asian american hip hop,2010,211
Shake It Out,Florence + The Machine,baroque pop,2011,278
Pumped Up Kicks,Foster The People,indietronica,2011,240
Tongue Tied,Grouplove,indie pop,2011,218
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop,2011,211
Tonight Tonight,Hot Chelle Rae,dance pop,2011,200
Dirt Road Anthem,Jason Aldean,contemporary country,2010,229
It Girl,Jason Derulo,dance pop,2011,192
Don't Wanna Go Home,Jason Derulo,dance pop,2011,206
On The Floor,Jennifer Lopez,dance pop,2011,285
Down On Me,Jeremih,chicago rap,2010,228
Do It Like A Dude,Jessie J,dance pop,2011,195
All Of The Lights,Kanye West,chicago rap,2010,300
Last Friday Night (T.G.I.F.),Katy Perry,dance pop,2012,231
Firework,Katy Perry,dance pop,2010,228
E.T.,Katy Perry,dance pop,2012,230
Motivation,Kelly Rowland,atl hip hop,2011,231
Pretty Girl Rock,Keri Hilson,dance pop,2010,244
We R Who We R,Kesha,dance pop,2010,205
Blow,Kesha,dance pop,2010,220
Earthquake (feat. Tinie Tempah),Labrinth,indie poptimism,2012,275
Just A Kiss,Lady A,contemporary country,2011,219
Born This Way,Lady Gaga,art pop,2011,260
The Edge Of Glory,Lady Gaga,art pop,2011,321
6 Foot 7 Foot,Lil Wayne,hip hop,2011,249
How To Love,Lil Wayne,hip hop,2011,240
Party Rock Anthem,LMFAO,dance pop,2011,262
Sexy And I Know It,LMFAO,dance pop,2011,199
The Show Goes On,Lupe Fiasco,chicago rap,2011,240
I Follow Rivers - The Magician Remix,Lykke Li,art pop,2021,280
Midnight City,M83,french shoegaze,2011,241
Donald Trump,Mac Miller,hip hop,2011,166
Buzzin Remix,Mann,pop rap,2011,224
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Maroon 5,pop,2010,201
Sure Thing,Miguel,dance pop,2010,195
When We Stand Together,Nickelback,alternative metal,2011,191
Super Bass,Nicki Minaj,dance pop,2010,200
L.I.F.E.G.O.E.S.O.N.,Noah And The Whale,indie folk,2011,228
Heart Skips a Beat (feat. Rizzle Kicks),Olly Murs,dance pop,2011,202
Good Life,OneRepublic,dance pop,2009,253
Raise Your Glass,P!nk,dance pop,2010,203
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,dance pop,2011,252
Hey Baby (Drop It to the Floor) (feat. T-Pain),Pitbull,dance pop,2011,234
Read All About It,Professor Green,grime,2021,236
The Adventures of Rain Dance Maggie,Red Hot Chili Peppers,alternative rock,2011,282
S&M,Rihanna,barbadian pop,2010,244
We Found Love,Rihanna,barbadian pop,2011,215
What's My Name?,Rihanna,barbadian pop,2010,263
Down With The Trumpets,Rizzle Kicks,uk hip hop,2011,187
Loca People - Radio Edit,Sak Noel,electro house,2011,216
Love You Like A Love Song,Selena Gomez & The Scene,dance pop,2011,188
Who Says,Selena Gomez & The Scene,dance pop,2011,196
Sweat - Remix,Snoop Dogg,g funk,2011,196
Save The World,Swedish House Mafia,dance pop,2011,213
Higher,Taio Cruz,dance pop,2011,188
If I Die Young,The Band Perry,contemporary country,2010,223
